,issue_date,loan_amnt,loan_status,term,int_rate,installment,sub_grade,verification_status,addr_state,total_paymnt
791,5-15,13000.0,1,0,0.29,291.09,11,1,South,2019.88
785,5-15,2250.0,1,1,0.29,75.05,11,0,West,597.33
773,5-15,30000.0,1,1,0.17,956.37,7,1,South,7635.68
767,5-15,3000.0,1,0,18.55,109.29,22,1,West,758.85
933,5-15,8000.0,1,1,13.33,270.83,13,1,South,2154.79
762,5-15,20000.0,1,1,0.24,610.62,2,1,East,4878.03
757,5-15,5500.0,1,1,0.53,440.92,10,0,South,1266.63
756,5-15,23600.0,1,0,22.99,665.16,26,0,East,5291.14
744,5-15,4800.0,1,1,0.69,161.02,12,0,0,1268.8
741,5-15,28000.0,1,1,0.39,856.78,5,1,West,6844.3
729,5-15,35000.0,1,1,21.67,1330.7,25,1,South,10603.46
713,5-15,10000.0,1,1,7.524344210526315,308.27,3,0,MidWest,2150.23
687,5-15,6400.0,0,1,0.99,209.5,9,0,West,1668.18
664,5-15,8000.0,1,1,0.99,261.88,9,0,West,1828.28
660,5-15,14000.0,1,1,14.65,482.92,15,1,South,3840.57
758,5-15,25000.0,1,1,0.32,752.87,1,0,West,5255.31
950,5-15,17500.0,0,0,16.55,430.7,17,1,South,2998.81
963,5-15,14400.0,1,0,13.99,440.92,14,1,West,2349.93
969,5-15,14000.0,1,1,0.99,458.28,9,0,South,3657.69
1352,5-15,14550.0,1,0,0.29,325.8,15,1,East,2270.67
1345,5-15,20000.0,1,1,0.32,602.3,1,1,South,4210.19
1332,5-15,7000.0,0,1,0.26,216.98,4,0,South,2333.02
1281,5-15,6875.0,1,1,0.17,219.17,7,1,MidWest,1530.69
1260,5-15,22125.0,1,1,17.86,798.32,20,1,0,6342.65
1245,5-15,28000.0,1,0,0.18,570.16,6,1,East,4548.56
1231,5-15,27600.0,1,0,0.69,623.62,12,0,South,4969.5
1207,5-15,35000.0,0,1,17.86,1262.88,20,1,South,7542.55
1200,5-15,28000.0,1,1,0.89,876.0,5,1,West,28707.77
1176,5-15,24000.0,0,0,0.99,521.7,9,1,South,4144.29
1173,5-15,12000.0,1,0,13.33,275.07,13,1,0,2191.67
1157,5-15,24000.0,1,0,15.61,578.68,16,1,MidWest,4608.63
1151,5-15,24000.0,1,0,16.55,590.68,20,1,South,4681.31
1093,5-15,15000.0,0,1,0.32,451.73,1,0,West,3157.68
1076,5-15,10200.0,0,1,0.69,342.16,12,1,West,1995.43
1061,5-15,20000.0,1,1,0.53,659.81,10,1,South,5265.67
1039,5-15,10000.0,1,0,0.99,212.43,8,0,West,1693.89
1022,5-15,17325.0,1,0,23.99,498.31,27,1,South,3940.3
1007,5-15,18000.0,1,0,0.53,396.14,10,1,East,2761.45
995,5-15,12750.0,1,1,16.99,454.51,18,1,MidWest,3624.05
981,5-15,24000.0,1,1,0.99,785.62,9,1,MidWest,6305.2
645,5-15,4000.0,1,0,0.18,125.68,6,1,East,877.94
1362,5-15,25000.0,1,0,13.99,581.58,14,1,South,4613.78
637,5-15,15000.0,0,0,13.33,343.84,13,0,West,2728.5
610,5-15,15000.0,1,0,13.33,343.84,13,1,South,2384.66
311,5-15,35000.0,1,1,15.61,1223.77,16,1,South,35530.87
288,5-15,10800.0,1,0,24.99,316.94,29,1,MidWest,2181.1
